,FUEL,Minimum Stable Output - Pmin (MW),Maximum Stable Output - Pmax (MW),"Minimum UP time (hr) (after starting a unit, how long must it remain online before turning off)","Minimum DOWN time (hr) (after turning off a unit, how long must it remain off until it can be turned back on)",HEAT_RATE (Btu per Kilowatt-hour),Forced outage rate (%),Mean Time to Repair (hrs)
1,Coal,579.92,1449.80,168.00,48.00,9370.04,0.07,38.10
2,Coal,314.48,786.20,168.00,48.00,10245.64,0.06,36.52
3,Coal,61.20,153.00,125.00,48.00,11044.44,0.05,36.74
4,Gas,377.60,716.00,8.00,4.00,7178.36,0.06,22.21
5,Gas,263.45,621.00,8.00,4.00,7544.80,0.06,24.00
6,Gas,320.00,650.00,8.00,4.00,7570.00,0.06,24.00
7,Gas,177.60,332.00,7.00,4.00,8031.69,0.07,29.95
8,Gas,307.17,561.50,8.00,4.00,8341.29,0.06,24.00
9,Gas,331.20,652.00,2.00,2.00,10264.57,0.04,51.83
10,Gas,292.79,998.00,2.00,2.00,10568.23,0.04,55.22
11,Gas,201.85,505.00,12.00,8.00,10826.10,0.07,52.33
12,Gas,221.40,492.00,2.00,2.00,10847.37,0.04,43.41
13,Gas,124.80,416.00,2.00,2.00,12529.98,0.04,40.89
14,Oil,67.98,226.60,2.00,2.00,8328.73,0.04,37.96
