Year,Month,Day ,Hour,Load,Wind,Solar,NetLoad
2005,1,1,1,4005,1006,,2999
2005,1,1,2,3847,1000,,2848
2005,1,1,3,3800,1021,,2779
2005,1,1,4,3782,1077,,2706
2005,1,1,5,3815,1140,,2676
2005,1,1,6,3944,1134,,2811
2005,1,1,7,4170,1061,,3110
2005,1,1,8,4339,993,,3346
2005,1,1,9,4492,869,,3624
2005,1,1,10,4587,773,,3814
2005,1,1,11,4661,675,,3987
2005,1,1,12,4673,650,,4023
2005,1,1,13,4610,614,,3996
2005,1,1,14,4537,596,,3942
2005,1,1,15,4481,493,,3988
2005,1,1,16,4477,486,,3992
2005,1,1,17,4722,630,,4093
2005,1,1,18,5283,569,,4715
2005,1,1,19,5269,521,,4748
2005,1,1,20,5099,541,,4559
2005,1,1,21,4904,551,,4354
2005,1,1,22,4673,594,,4079
2005,1,1,23,4374,579,,3796
2005,1,1,24,4094,606,,3489
2005,1,2,1,3869,668,,3201
2005,1,2,2,3750,629,,3121
2005,1,2,3,3686,608,,3079
2005,1,2,4,3667,592,,3076
2005,1,2,5,3679,557,,3123
2005,1,2,6,3770,528,,3243
2005,1,2,7,3932,539,,3393
2005,1,2,8,4033,521,,3512
2005,1,2,9,4166,474,,3693
2005,1,2,10,4298,428,,3871
2005,1,2,11,4401,406,,3995
2005,1,2,12,4424,410,,4015
2005,1,2,13,4432,426,,4006
2005,1,2,14,4391,397,,3995
2005,1,2,15,4387,362,,4025
2005,1,2,16,4438,371,,4068
2005,1,2,17,4735,406,,4329
2005,1,2,18,5290,410,,4880
2005,1,2,19,5331,433,,4898
2005,1,2,20,5215,426,,4790
2005,1,2,21,5088,432,,4657
2005,1,2,22,4845,468,,4378
2005,1,2,23,4442,512,,3930
2005,1,2,24,4057,515,,3542
2005,1,3,1,3863,529,,3334
2005,1,3,2,3750,502,,3249
2005,1,3,3,3729,483,,3246
2005,1,3,4,3724,437,,3288
2005,1,3,5,3821,380,,3441
2005,1,3,6,4058,315,,3744
2005,1,3,7,4467,262,,4206
2005,1,3,8,4690,215,,4475
2005,1,3,9,4791,169,,4622
2005,1,3,10,4852,132,,4721
2005,1,3,11,4890,132,,4759
2005,1,3,12,4857,116,,4742
2005,1,3,13,4803,101,,4702
2005,1,3,14,4764,111,,4654
2005,1,3,15,4727,140,,4587
2005,1,3,16,4743,203,,4541
2005,1,3,17,4998,285,,4714
2005,1,3,18,5580,355,,5225
